Project,Company,Category,SubCat,URL,Starcount,Subscribers,TotalIssues,Forks,Contributors,Releases,Pulls,TopLanguage,GitURL
robocorp/rpaframework,Robocorp,RPA,RPA,https://robocorp.com/,147,26,122,44,11,0,67,Python,https://github.com/robocorp/rpaframework
facebook/rocksdb,Rockset,Data,Database,https://rockset.com/,18488,1024,7727,4184,331,132,5617,C++,https://github.com/facebook/rocksdb
rudderlabs/rudder-server,RudderStack,Data,Orchestration,https://rudderstack.com/,2186,37,748,101,39,13,672,Go,https://github.com/rudderlabs/rudder-server
mirumee/saleor,Saleor,ecommerce,Platform,https://saleor.io/,9986,360,6468,3415,157,54,3601,Python,https://github.com/mirumee/saleor
sanity-io/sanity,Sanity,CMS,Platform,https://www.sanity.io/,2214,56,2196,194,46,216,1562,TypeScript,https://github.com/sanity-io/sanity
sensu/sensu-go,Sensu,PlatformOps,Observability,https://sensu.io/,591,42,4066,118,44,64,1880,Go,https://github.com/sensu/sensu-go
serverless/serverless,Serverless,Developer,Framework,https://serverless.com/,38425,1002,8624,4531,362,209,3794,JavaScript,https://github.com/serverless/serverless
snorkel-team/snorkel,Snorkel,AI/ML,Data,https://snorkel.ai/,4380,176,1613,719,53,12,685,Python,https://github.com/snorkel-team/snorkel
snyk/snyk,Snyk,Developer,Security,snyk.io,2682,108,1568,270,114,870,1175,TypeScript,https://github.com/snyk/snyk
solo-io/gloo,Solo,Developer,API Gateway,https://www.solo.io/,2727,84,4044,246,72,350,2050,Go,https://github.com/solo-io/gloo
zaproxy/zaproxy,Stackhawk,Networking,Security,https://www.stackhawk.com/,8093,396,6354,1564,152,192,2472,Java,https://github.com/zaproxy/zaproxy
cloud-custodian/cloud-custodian,Stacklet,Cloud,Security,https://stacklet.io/,3337,164,6374,959,280,42,3436,Python,https://github.com/cloud-custodian/cloud-custodian
prestosql/presto,Starburst,Data,Database,https://www.starburstdata.com/,2004,119,6482,829,346,0,4564,Java,https://github.com/prestosql/presto
amundsen-io/amundsen,Stemma,Data,Discovery,http://stemma.ai/,1640,249,866,341,56,0,524,HTML,https://github.com/amundsen-io/amundsen
